,Features,accuracy,precision,red dim,verification error
0,PCA k=3,34.81481481481482,0.47871561620099634,310,65.18518518518519
1,PCA k=5,37.77777777777778,0.5241914492489205,310,62.22222222222222
2,PCA k=69,37.03703703703704,0.5779380214990517,310,62.96296296296296
3,PCA k=99,38.51851851851852,0.6162151410271711,310,61.48148148148148
4,KPCA k=3,28.14814814814815,0.4681114605171209,310,71.85185185185185
5,KPCA k=5,34.074074074074076,0.6189440883190882,310,65.92592592592592
6,KPCA k=69,31.11111111111111,0.5446776306835689,310,68.88888888888889
7,KPCA k=99,31.851851851851855,0.43971977268273565,310,68.14814814814815
8,LDA+PCA k=3,51.11111111111111,0.5501502509835844,7,48.88888888888889
9,LDA+PCA k=5,50.37037037037037,0.5228510548317312,7,49.62962962962963
10,LDA+PCA k=69,48.148148148148145,0.4940231487119807,7,51.851851851851855
11,LDA+PCA k=99,46.666666666666664,0.48869064439396914,7,53.333333333333336
12,KLDA k=3,40.74074074074074,0.4321315552034506,7,59.25925925925926
13,KLDA k=5,39.25925925925926,0.41904204687779567,7,60.74074074074074
14,KLDA k=69,42.22222222222222,0.40169550150201055,7,57.77777777777778
15,KLDA k=99,43.7037037037037,0.4119059995668182,7,56.2962962962963
16,RESNET k=3,96.29629629629629,0.9671833064949007,2048,3.7037037037037095
17,RESNET k=5,96.29629629629629,0.9651771336553945,2048,3.7037037037037095
18,RESNET k=69,95.55555555555556,0.9570139803835456,2048,4.444444444444443
19,RESNET k=99,93.33333333333333,0.9381767990463643,2048,6.666666666666671
20,VGG k=3,65.92592592592592,0.6752886846746495,4096,34.074074074074076
21,VGG k=5,66.66666666666666,0.6906362805485612,4096,33.33333333333334
22,VGG k=69,69.62962962962963,0.7138887727853245,4096,30.370370370370367
23,VGG k=99,66.66666666666666,0.6891520291130427,4096,33.33333333333334
